,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
244,serialization,24837,Stack Overflow,2.4688654,-4.97616,Computer Science,blue,174,0.7347593582887701,0.627807486631016
245,model-view-controller,24789,Stack Overflow,2.2264285,3.6175945,Computer Science,blue,175,0.7320855614973263,0.625668449197861
246,arraylist,24668,Stack Overflow,1.2449001,-7.004722999999999,Computer Science,blue,176,0.7294117647058824,0.6235294117647059
247,gridview,24663,Stack Overflow,-1.6205201999999999,-7.208392599999999,Computer Science,blue,177,0.7267379679144386,0.6213903743315509
248,jdbc,24625,Stack Overflow,0.37186036,3.8681302000000004,Computer Science,blue,178,0.7240641711229947,0.6192513368983958
249,javafx,24399,Stack Overflow,-2.3331307999999997,-3.691561,Computer Science,blue,179,0.7213903743315508,0.6171122994652407
250,flex,24303,Stack Overflow,1.5441076999999999,0.05503750599999999,Computer Science,blue,180,0.718716577540107,0.6149732620320856
252,vector,23940,Stack Overflow,12.160447999999999,0.09517838,Computer Science,blue,181,0.7160427807486631,0.6128342245989304
254,checkbox,23724,Stack Overflow,-0.30598986,-7.732727499999999,Computer Science,blue,182,0.7133689839572193,0.6106951871657755
256,mobile,23405,Stack Overflow,9.471408,6.943859,Computer Science,blue,183,0.7106951871657754,0.6085561497326204
257,random,23311,Stack Overflow,10.221162,-1.3922199,Computer Science,blue,184,0.7080213903743315,0.6064171122994653
258,soap,23251,Stack Overflow,5.6984897000000005,0.57611084,Computer Science,blue,185,0.7053475935828877,0.6042780748663102
259,sharepoint,23102,Stack Overflow,3.7374709000000004,9.402264,Computer Science,blue,186,0.7026737967914438,0.6021390374331551
263,extjs,22612,Stack Overflow,-2.4837105,-5.6771173,Computer Science,blue,187,0.7,0.6
265,vim,22569,Stack Overflow,1.6890482,-1.9779905,Computer Science,blue,188,0.6973262032085561,0.597860962566845
266,text,22428,Stack Overflow,0.8651502000000001,11.934047999999999,Computer Science,blue,189,0.6946524064171122,0.5957219251336898
267,plot,22349,Stack Overflow,-7.5701213,1.5899428999999998,Computer Science,blue,190,0.6919786096256685,0.5935828877005348
269,input,22323,Stack Overflow,4.4742737,-0.22404173,Computer Science,blue,191,0.6893048128342246,0.5914438502673798
270,machine-learning,22098,Stack Overflow,7.424484,1.8687991000000002,Computer Science,blue,192,0.6866310160427808,0.5893048128342246
271,layout,22073,Stack Overflow,9.7611475,4.198418,Computer Science,blue,193,0.6839572192513369,0.5871657754010695
273,boost,21979,Stack Overflow,1.8874006,-13.1135235,Computer Science,blue,194,0.681283422459893,0.5850267379679144
275,mvvm,21891,Stack Overflow,-2.301544,-6.8036127,Computer Science,blue,195,0.6786096256684493,0.5828877005347595
276,methods,21658,Stack Overflow,-1.2387528,9.4853115,Computer Science,blue,196,0.6759358288770054,0.5807486631016043
277,twitter,21653,Stack Overflow,-3.2723657999999998,12.8821745,Computer Science,blue,197,0.6732620320855616,0.5786096256684492
278,indexing,21542,Stack Overflow,0.35256898,7.885501400000001,Computer Science,blue,198,0.6705882352941177,0.5764705882352942
279,netbeans,21313,Stack Overflow,-2.5046299,-1.4102607,Computer Science,blue,199,0.6679144385026738,0.574331550802139
282,dynamic,20879,Stack Overflow,9.640164,0.975052,Computer Science,blue,200,0.66524064171123,0.572192513368984
283,dll,20871,Stack Overflow,-0.3178552,-1.8245481,Computer Science,blue,201,0.6625668449197861,0.5700534759358289
284,data-structures,20723,Stack Overflow,-1.4357655,-7.377924,Computer Science,blue,202,0.6598930481283423,0.5679144385026738
285,browser,20578,Stack Overflow,4.176849,12.355727,Computer Science,blue,203,0.6572192513368984,0.5657754010695187
286,flask,20567,Stack Overflow,-8.258344000000001,-1.5444921,Computer Science,blue,204,0.6545454545454545,0.5636363636363637
289,gwt,20390,Stack Overflow,2.2089882000000003,-3.599279,Computer Science,blue,205,0.6518716577540107,0.5614973262032086
290,design,20247,Stack Overflow,7.5742054,4.4119706,Computer Science,blue,206,0.6491978609625668,0.5593582887700534
292,pdo,20152,Stack Overflow,-6.3260875,3.6405292,Computer Science,blue,207,0.646524064171123,0.5572192513368983
293,groovy,20058,Stack Overflow,-3.7848358,-3.2118206000000002,Computer Science,blue,208,0.6438502673796791,0.5550802139037434
294,plugins,19991,Stack Overflow,-0.46071002,3.9338732000000003,Computer Science,blue,209,0.6411764705882352,0.5529411764705883
298,time,19566,Stack Overflow,-12.368971,-2.1941213999999998,Computer Science,blue,210,0.6385026737967914,0.5508021390374331
299,struct,19551,Stack Overflow,-3.5444595999999997,-7.4195375,Computer Science,blue,211,0.6358288770053476,0.5486631016042781
300,unicode,19476,Stack Overflow,2.0486112000000003,5.6878779999999995,Computer Science,blue,212,0.6331550802139038,0.546524064171123
301,mongoose,19439,Stack Overflow,-5.115044,-1.3649207,Computer Science,blue,213,0.6304812834224599,0.544385026737968
302,ssh,19429,Stack Overflow,-0.7665685,2.8206742,Computer Science,blue,214,0.627807486631016,0.5422459893048128
303,reflection,19365,Stack Overflow,7.090762599999999,-8.220175999999999,Computer Science,blue,215,0.6251336898395722,0.5401069518716577
305,tkinter,19206,Stack Overflow,-2.2043796,-6.272336,Computer Science,blue,216,0.6224598930481284,0.5379679144385028
306,sed,19157,Stack Overflow,-9.578373,-3.748905,Computer Science,blue,217,0.6197860962566846,0.5358288770053476
308,npm,18957,Stack Overflow,3.4410879999999997,-2.447866,Computer Science,blue,218,0.6171122994652407,0.5336898395721925
309,lambda,18939,Stack Overflow,-9.027649,4.537380000000001,Computer Science,blue,219,0.6144385026737968,0.5315508021390374
313,graph,18826,Stack Overflow,11.9055395,-0.6011841,Computer Science,blue,220,0.611764705882353,0.5294117647058824
315,hash,18682,Stack Overflow,9.722131,12.466428,Computer Science,blue,221,0.6090909090909091,0.5272727272727273
320,drupal,18466,Stack Overflow,3.4604661,9.065266000000001,Computer Science,blue,222,0.6064171122994653,0.5251336898395722
321,replace,18396,Stack Overflow,2.7823748999999998,-12.674762,Computer Science,blue,223,0.6037433155080214,0.5229946524064171
323,service,18372,Stack Overflow,-3.2524509999999998,6.1824856,Computer Science,blue,224,0.6010695187165775,0.520855614973262
324,encoding,18327,Stack Overflow,-1.8405273999999998,7.1851625,Computer Science,blue,225,0.5983957219251337,0.518716577540107
325,charts,18321,Stack Overflow,-0.8948655999999999,-14.266221,Computer Science,blue,226,0.5957219251336898,0.5165775401069519
329,web-applications,18184,Stack Overflow,-1.8622551,-1.4444146,Computer Science,blue,227,0.593048128342246,0.5144385026737968
332,junit,17917,Stack Overflow,0.5594579000000001,1.3838397,Computer Science,blue,228,0.5903743315508021,0.5122994652406417
335,paypal,17774,Stack Overflow,-2.959221,-2.4302878,Computer Science,blue,229,0.5877005347593582,0.5101604278074867
337,collections,17537,Stack Overflow,0.92336184,9.938295,Computer Science,blue,230,0.5850267379679144,0.5080213903743316
338,login,17529,Stack Overflow,-1.7452791,11.386344,Computer Science,blue,231,0.5823529411764705,0.5058823529411764
339,utf-8,17504,Stack Overflow,-2.1407301,-5.753421299999999,Computer Science,blue,232,0.5796791443850268,0.5037433155080214
