,tag,count,class,tsne_0,tsne_1,tsne_2,cName,colour_class,rank,size_objs,alpha_val
275,mvvm,21891,Stack Overflow,98.12293000000001,157.08353,28.211306,Computer Science,blue,195,0.6786096256684493,0.5828877005347595
276,methods,21658,Stack Overflow,-57.509842000000006,101.00437,-138.85876000000002,Computer Science,blue,196,0.6759358288770054,0.5807486631016043
277,twitter,21653,Stack Overflow,104.10892,111.61313,72.48663,Computer Science,blue,197,0.6732620320855616,0.5786096256684492
278,indexing,21542,Stack Overflow,20.910507,-146.58907,-17.194136,Computer Science,blue,198,0.6705882352941177,0.5764705882352942
279,netbeans,21313,Stack Overflow,4.894096,-112.08993500000001,-77.14173000000001,Computer Science,blue,199,0.6679144385026738,0.574331550802139
282,dynamic,20879,Stack Overflow,32.30422,167.04551999999998,-3.2528348,Computer Science,blue,200,0.66524064171123,0.572192513368984
283,dll,20871,Stack Overflow,-33.093196999999996,163.94377,43.377716,Computer Science,blue,201,0.6625668449197861,0.5700534759358289
284,data-structures,20723,Stack Overflow,-26.768246,-108.77564,57.64001,Computer Science,blue,202,0.6598930481283423,0.5679144385026738
285,browser,20578,Stack Overflow,154.84898,-87.17376,6.0843253,Computer Science,blue,203,0.6572192513368984,0.5657754010695187
286,flask,20567,Stack Overflow,-15.903575,17.275988,189.03663999999998,Computer Science,blue,204,0.6545454545454545,0.5636363636363637
289,gwt,20390,Stack Overflow,-29.521194,112.57576,-100.60561,Computer Science,blue,205,0.6518716577540107,0.5614973262032086
290,design,20247,Stack Overflow,136.6487,19.95137,115.48777,Computer Science,blue,206,0.6491978609625668,0.5593582887700534
292,pdo,20152,Stack Overflow,24.038895,-48.548664,114.43836,Computer Science,blue,207,0.646524064171123,0.5572192513368983
293,groovy,20058,Stack Overflow,-84.86686999999999,85.203186,-0.70416874,Computer Science,blue,208,0.6438502673796791,0.5550802139037434
294,plugins,19991,Stack Overflow,-5.014799,-126.87913999999999,20.110138,Computer Science,blue,209,0.6411764705882352,0.5529411764705883
298,time,19566,Stack Overflow,-106.10672,136.40982,-13.452129999999999,Computer Science,blue,210,0.6385026737967914,0.5508021390374331
299,struct,19551,Stack Overflow,-20.21963,-28.02143,15.620064999999999,Computer Science,blue,211,0.6358288770053476,0.5486631016042781
300,unicode,19476,Stack Overflow,-30.883959,101.4051,91.30756,Computer Science,blue,212,0.6331550802139038,0.546524064171123
301,mongoose,19439,Stack Overflow,63.465523,30.719286,144.31372,Computer Science,blue,213,0.6304812834224599,0.544385026737968
